fileId,fileUrls for custom selected,size
8358040456,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/201/AERDT_L2_VIIRS_SNPP.A2024201.0924.002.2024201220815.nc,11247591
8358044186,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/201/AERDT_L2_VIIRS_SNPP.A2024201.0930.002.2024201221837.nc,10457520
8358052395,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/201/AERDT_L2_VIIRS_SNPP.A2024201.0936.002.2024201222819.nc,12818132
8359029906,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0400.002.2024202164854.nc,11627954
8359029909,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0406.002.2024202164925.nc,9131279
8359035182,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0412.002.2024202165902.nc,12308622
8359081577,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0542.002.2024202182859.nc,15231022
8359086914,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0554.002.2024202183851.nc,10170369
8359086915,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0548.002.2024202183930.nc,9961175
8359144717,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0724.002.2024202200857.nc,12617803
8359150204,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0730.002.2024202201908.nc,8322980
8359150205,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0736.002.2024202201922.nc,11184457
8359189242,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0906.002.2024202214903.nc,10389430
8359193470,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0912.002.2024202215844.nc,10007835
8359196603,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/202/AERDT_L2_VIIRS_SNPP.A2024202.0918.002.2024202220915.nc,12809462
8359674562,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0342.002.2024203162939.nc,11031581
8359676982,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0348.002.2024203163945.nc,9453168
8359676984,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0354.002.2024203163954.nc,12023071
8359694822,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0524.002.2024203180948.nc,12596408
8359695992,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0530.002.2024203182016.nc,9396576
8359696155,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0536.002.2024203182000.nc,11097028
8359712886,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0700.002.2024203193937.nc,14567161
8359716516,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/203/AERDT_L2_VIIRS_SNPP.A2024203.0712.002.2024203195014.nc,8046373
